origin_id,destination_id,am_peak_min,late_night_min,off_peak_delay_min
06001428301,06001405401,77.0,96.0,19.0
06001428301,06001405402,74.0,94.0,20.0
06001428301,06001405500,78.0,93.0,15.0
06001428301,06001405600,77.0,93.0,16.0
06001428301,06001405700,72.0,88.0,16.0
06001428301,06001405800,74.0,92.0,18.0
06001428301,06001405901,68.0,86.0,18.0
06001428301,06001405902,76.0,95.0,19.0
06001428301,06001406000,76.0,118.0,42.0
06001428301,06001406100,41.0,83.0,42.0
06001428301,06001406201,65.0,84.0,19.0
06001428301,06001406202,57.0,84.0,27.0
06001428301,06001406300,66.0,90.0,24.0
06001428301,06001406400,73.0,94.0,21.0
06001428301,06001406500,63.0,93.0,30.0
06001428301,06001406601,66.0,101.0,35.0
06001428301,06001406602,69.0,93.0,24.0
06001428301,06001406700,80.0,106.0,26.0
06001428301,06001406800,66.0,106.0,40.0
06001428301,06001406900,79.0,110.0,31.0
06001428301,06001407000,68.0,102.0,34.0
06001428301,06001407101,60.0,97.0,37.0
06001428301,06001407102,70.0,98.0,28.0
06001428301,06001407200,57.0,91.0,34.0
06001428301,06001407300,65.0,93.0,28.0
06001428301,06001407400,69.0,95.0,26.0
06001428301,06001407500,71.0,98.0,27.0
06001428301,06001407600,77.0,102.0,25.0
06001428301,06001407700,78.0,103.0,25.0
06001428301,06001407800,73.0,100.0,27.0
06001428301,06001407900,84.0,112.0,28.0
06001428301,06001408000,91.0,120.0,29.0
06001428301,06001408100,90.0,120.0,30.0
06001428301,06001408200,83.0,110.0,27.0
06001428301,06001408300,89.0,115.0,26.0
06001428301,06001408400,80.0,105.0,25.0
06001428301,06001408500,76.0,102.0,26.0
06001428301,06001408600,75.0,101.0,26.0
06001428301,06001408700,74.0,102.0,28.0
06001428301,06001408800,65.0,99.0,34.0
06001428301,06001408900,65.0,97.0,32.0
06001428301,06001409000,87.0,95.0,8.0
06001428301,06001409100,78.0,120.0,42.0
06001428301,06001409200,81.0,120.0,39.0
06001428301,06001409300,85.0,119.0,34.0
06001428301,06001409400,84.0,119.0,35.0
06001428301,06001409500,70.0,111.0,41.0
06001428301,06001409600,79.0,113.0,34.0
06001428301,06001409700,81.0,111.0,30.0
06001428301,06001409800,93.0,118.0,25.0
06001428301,06001409900,120.0,120.0,0.0
06001428301,06001410000,104.0,120.0,16.0
06001428301,06001410100,88.0,115.0,27.0
06001428301,06001410200,84.0,110.0,26.0
06001428301,06001410300,79.0,117.0,38.0
06001428301,06001410400,85.0,120.0,35.0
06001428301,06001410500,75.0,108.0,33.0
06001428301,06001420100,99.0,120.0,21.0
06001428301,06001420200,95.0,120.0,25.0
06001428301,06001420301,101.0,120.0,19.0
06001428301,06001420302,120.0,120.0,0.0
06001428301,06001420401,93.0,120.0,27.0
06001428301,06001420402,120.0,120.0,0.0
06001428301,06001420500,98.0,120.0,22.0
06001428301,06001420600,99.0,120.0,21.0
06001428301,06001421100,112.0,120.0,8.0
06001428301,06001421200,102.0,120.0,18.0
06001428301,06001421300,89.0,120.0,31.0
06001428301,06001421400,87.0,120.0,33.0
06001428301,06001421500,111.0,120.0,9.0
06001428301,06001421600,104.0,120.0,16.0
06001428301,06001421700,80.0,120.0,40.0
06001428301,06001421800,91.0,120.0,29.0
06001428301,06001421900,95.0,120.0,25.0
06001428301,06001422000,95.0,120.0,25.0
06001428301,06001422100,96.0,120.0,24.0
06001428301,06001422200,85.0,114.0,29.0
06001428301,06001422300,83.0,112.0,29.0
06001428301,06001422400,81.0,110.0,29.0
06001428301,06001422500,88.0,113.0,25.0
06001428301,06001422700,88.0,117.0,29.0
06001428301,06001422800,80.0,113.0,33.0
06001428301,06001422901,78.0,107.0,29.0
06001428301,06001422902,76.0,105.0,29.0
06001428301,06001423000,88.0,117.0,29.0
06001428301,06001423100,95.0,119.0,24.0
06001428301,06001423200,97.0,120.0,23.0
06001428301,06001423300,100.0,120.0,20.0
06001428301,06001423400,88.0,117.0,29.0
06001428301,06001423500,81.0,110.0,29.0
06001428301,06001423601,91.0,119.0,28.0
06001428301,06001423602,87.0,119.0,32.0
06001428301,06001423700,89.0,120.0,31.0
06001428301,06001423800,96.0,120.0,24.0
06001428301,06001423901,75.0,104.0,29.0
06001428301,06001423902,89.0,116.0,27.0
06001428301,06001424001,79.0,108.0,29.0
06001428301,06001424002,89.0,116.0,27.0
06001428301,06001425101,108.0,120.0,12.0
06001428301,06001425102,90.0,114.0,24.0
06001428301,06001425103,95.0,120.0,25.0
06001428301,06001425104,83.0,107.0,24.0
06001428301,06001426100,95.0,120.0,25.0
06001428301,06001426200,79.0,105.0,26.0
06001428301,06001427100,39.0,68.0,29.0
06001428301,06001427200,54.0,92.0,38.0
06001428301,06001427300,55.0,109.0,54.0
06001428301,06001427600,47.0,105.0,58.0
06001428301,06001427700,56.0,116.0,60.0
06001428301,06001427800,36.0,97.0,61.0
06001428301,06001427900,36.0,89.0,53.0
06001428301,06001428000,37.0,77.0,40.0
06001428301,06001428100,31.0,57.0,26.0
06001428301,06001428200,27.0,43.0,16.0
06001428301,06001428301,0.0,0.0,0.0
06001428301,06001428302,27.0,28.0,1.0
06001428301,06001428400,53.0,69.0,16.0
06001428301,06001428500,50.0,73.0,23.0
06001428301,06001428600,51.0,93.0,42.0
06001428301,06001428700,77.0,120.0,43.0
06001428301,06001430101,120.0,120.0,0.0
06001428301,06001430102,120.0,120.0,0.0
06001428301,06001430200,120.0,120.0,0.0
06001428301,06001430300,108.0,120.0,12.0
06001428301,06001430400,120.0,120.0,0.0
06001428301,06001430500,98.0,120.0,22.0
06001428301,06001430600,108.0,120.0,12.0
06001428301,06001430700,94.0,120.0,26.0
06001428301,06001430800,86.0,120.0,34.0
06001428301,06001430900,88.0,120.0,32.0
06001428301,06001431000,72.0,108.0,36.0
06001428301,06001431100,86.0,120.0,34.0
06001428301,06001431200,83.0,120.0,37.0
06001428301,06001432100,83.0,120.0,37.0
06001428301,06001432200,80.0,115.0,35.0
06001428301,06001432300,74.0,109.0,35.0
06001428301,06001432400,103.0,120.0,17.0
06001428301,06001432501,78.0,113.0,35.0
06001428301,06001432502,77.0,114.0,37.0
06001428301,06001432601,60.0,95.0,35.0
06001428301,06001432602,72.0,103.0,31.0
06001428301,06001432700,76.0,116.0,40.0
06001428301,06001432800,105.0,120.0,15.0
06001428301,06001433000,83.0,110.0,27.0
06001428301,06001433102,75.0,110.0,35.0
